[Groups],,,,,,,,,,,,
!Label,!Description,!Active?,,,,,,,,,,
Program Admin,Individual program administrative group.,Yes,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Programs],,,,,,,,,,,,
!Label,!Abbreviation,!Description,!Merchant Code,!Service Code,,,,,,,,
Dept. of Iowa Widgets,DIW,Department of Public Safety - Electrical Licensing,,,,,,,,,,
Iowa Fiber Networks,IFN,,,,,,,,,,,
Iowa Cupcake Bureau,ICB,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Program Groups],,,,,,,,,,,,
!Program,!Group,,,,,,,,,,,
DIW,Program Admin,,,,,,,,,,,
IFN,Program Admin,,,,,,,,,,,
ICB,Program Admin,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Accounts],,1,,,,,,,,,,
!Parent Group,!Username,!Title,!First Name,!Last Name,!Middle Initial,!Label,!Email,!DoB,,,,
Program Admin (Dept. Iowa Widgets),demo@iowai.org,Mr.,Willam,Widgeton,W,"Widgeton, Willam W.",demo@iowai.org,9/9/68,,,,
Program Admin (Iowa Fiber Networks),demo@iowai.org,Ms.,Fiberina,Flynn,F,"Flynn, Fiberina F.",demo@iowai.org,6/7/82,,,,
Program Admin (Iowa Cupcake Bureau),demo@iowai.org,Mr.,Charlie,Cup le Cake,C,"Cup le Cake, Charlie C.",demo@iowai.org,6/29/77,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Configuration],,,,,,,,,,,,
!Label,!Value,!Options,!Program Abbr,!Plugin,,,,,,,,
education_form_path,education_short_form,education_short_form|education_long_form,DIW,,,,,,,,,
theme,theme-spring,theme-navy|theme-spring,,OutputDocuments,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Degrees of Education],,,,,,,,,,,,
!Degree,,,,,,,,,,,,
General Education Development (GED),,,,,,,,,,,,
High School Diploma,,,,,,,,,,,,
Associates Degree,,,,,,,,,,,,
Bachelors Degree,,,,,,,,,,,,
Masters Degree or Ph.D.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Course Catalogs],,,,,,,,,,,,
!Program Abbreviation,!Label,!Abbreviation,!Description,!Hours,!Test Attempts Allowed,!Active?,,,,,,
DIW,101 Iowa Widget Certification Course,101-IWCC,Department of Iowa Widgets Certification Course.,16,2,Yes,,,,,,
DIW,102 Iowa Widget Recertification Course,102-IWRC,Department of Iowa Widgets Rcertification Course.,4,2,Yes,,,,,,
DIW,201 Iowa Widget Mastery Course,201-IWMC,Department of Iowa Widgets Mastery Course.,8,1,Yes,,,,,,
IFN,Iowa Fiber Networks Junior Apprentice Course (235),IFN-JA-235,Iowa Fiber Networks Junior Apprentice Course.,12,3,Yes,,,,,,
IFN,Iowa Fiber Networks Apprentice Course (255),IFN-A-255,Iowa Fiber Networks Apprentice Course.,8,3,Yes,,,,,,
IFN,Iowa Fiber Networks Senior Apprentice Course (260),IFN-SA-260,Iowa Fiber Networks Senior Apprentice Course.,4,3,Yes,,,,,,
IFN,Iowa Fiber Networks Certification Course (301),IFN-C-301,Iowa Fiber Networks Certification Course.,4,2,Yes,,,,,,
ICB,ICB Food Safety & Regulations Course,ICB-FSRC,ICB Food Safety & Regulations Course. This course focuses on Iowa food safety and regulations.,4,0,Yes,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Replaced Course Catalog Associations],,,,,,,,,,,,
!Course,!Parent Course,!Replaced Courses,,,,,,,,,,
102-IWRC,101-IWCC,101-IWCC,,,,,,,,,,
201-IWMC,"101-IWCC, 102-IWRC","101-IWCC, 102-IWRC",,,,,,,,,,
IFN-A-255,IFN-JA-235,IFN-JA-235,,,,,,,,,,
IFN-SA-260,IFN-A-255,IFN-A-255,,,,,,,,,,
IFN-C-301,"IFN-A-255, IFN-SA-260","IFN-A-255, IFN-SA-260",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[License Types],,,,,,,,,,,,
!Program,!Type of License,!Label,!Description,!Abbreviation,!Renewal Cycle,!Initial Education Hours Needed,!Renewal Education Hours Needed,!Reciprocal Hours Allowed?,!Renew Before,!Renew After,!Units in Months?,!Renewal Period Hard Date?
DIW,Account,Widget Engineer,Top level widget developer and engineer.,WE,24,8,8,No,1,0,Yes,
DIW,Account,Widget Developer,Standard level widget developer.,WD,12,16,4,Yes,1,0,Yes,
IFN,Account,Junior Apprentice,Fiber Network Specialist Junior Apprentice.,JA,12,12,0,Yes,1,1,Yes,3/31/10
IFN,Account,Apprentice,Fiber Network Specialist Apprentice.,A,12,8,0,No,1,1,Yes,3/31/10
IFN,Account,Senior Apprentice,Fiber Network Specialist Senior Apprentice.,SA,12,4,4,No,1,1,Yes,3/31/10
IFN,Account,Fiber Network Specialist,Fiber Network Specialist Certified.,C,24,4,4,No,2,1,Yes,3/31/10
ICB,Firm,Bakery Establishment,Certified Bakery or Establishment.,CBE,48,0,0,No,3,0,Yes,12/31/12
ICB,Account,Cupcake Baker,Certified Cupcake Baker.,CCB,24,4,4,Yes,3,0,Yes,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Course Catalogs to License Types Associations],,,,,,,,,,,,
!License Type Abbr,!Course Catalog Abbr,!Eligible for Initial Education Hours?,!Eligible for Renewal Education Hours?,,,,,,,,,
WE,201-IWMC,Yes,Yes,,,,,,,,,
WD,101-IWCC,Yes,No,,,,,,,,,
WD,102-IWRC,No,Yes,,,,,,,,,
JA,IFN-JA-235,Yes,No,,,,,,,,,
A,IFN-A-255,Yes,No,,,,,,,,,
SA,IFN-SA-260,Yes,Yes,,,,,,,,,
C,IFN-C-301,Yes,Yes,,,,,,,,,
CCB,ICB-FSRC,Yes,Yes,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[Application Sections to License Types Associations],,,,,,,,,,,,
!License Type,!Application Section,!Label,!Order,!Required,,,,,,,,
CBE,License Information,,10,Yes,,,,,,,,
CBE,Addresses,,30,Yes,,,,,,,,
CBE,Firm Information,,20,Yes,,,,,,,,
CBE,Associated Licensees,,50,No,,,,,,,,
CBE,Insurance Information,,51,No,,,,,,,,
CBE,Screening Questions,,60,No,,,,,,,,
CCB,License Information,,10,Yes,,,,,,,,
CCB,Personal Information,,20,Yes,,,,,,,,
CCB,Addresses,,30,Yes,,,,,,,,
CCB,Courses,,50,No,,,,,,,,
CCB,Education,,70,No,,,,,,,,
CCB,References,,82,No,,,,,,,,
CCB,Other Professional Licenses,,84,No,,,,,,,,
CCB,Licensed by Exam,,86,Yes,,,,,,,,
CCB,Supporting Documents,,90,No,,,,,,,,
CCB,Screening Questions,,100,Yes,,,,,,,,
WE,License Information,,10,Yes,,,,,,,,
WE,Personal Information,,20,Yes,,,,,,,,
WE,Addresses,,30,Yes,,,,,,,,
WE,Courses,,50,No,,,,,,,,
WE,Work Experience,,60,No,,,,,,,,
WE,Education,,70,No,,,,,,,,
WE,References,,82,No,,,,,,,,
WE,Other Professional Licenses,,84,No,,,,,,,,
WE,Supporting Documents,,90,No,,,,,,,,
WE,Screening Questions,,100,Yes,,,,,,,,
WD,License Information,,10,Yes,,,,,,,,
WD,Personal Information,,20,Yes,,,,,,,,
WD,Addresses,,30,Yes,,,,,,,,
WD,Courses,,50,No,,,,,,,,
WD,Work Experience,,60,No,,,,,,,,
WD,Education,,70,No,,,,,,,,
WD,References,,82,No,,,,,,,,
WD,Other Professional Licenses,,84,No,,,,,,,,
WD,Licensed by Exam,,86,Yes,,,,,,,,
WD,Supporting Documents,,90,No,,,,,,,,
WD,Screening Questions,,100,Yes,,,,,,,,
JA,License Information,,10,Yes,,,,,,,,
